index,Raw,Count,Lemmantize,Porter,Lancaster
222,plan,9,plan,plan,plan
229,claims,9,claim,claim,claim
224,full,9,full,full,ful
225,parts,9,part,part,part
226,managed,9,managed,manag,man
227,Commercial,9,Commercial,commerci,commerc
228,extractor,9,extractor,extractor,extract
230,back,9,back,back,back
231,lead,9,lead,lead,lead
213,cover,9,cover,cover,cov
214,commercial,9,commercial,commerci,commerc
206,systems,9,system,system,system
212,UK,9,UK,uk,uk
202,various,9,various,variou,vary
211,manpower,9,manpower,manpow,manpow
194,sequence,9,sequence,sequenc,sequ
195,solution,9,solution,solut,solv
196,Substation,9,Substation,substat,subst
197,if,9,if,if,if
199,start,9,start,start,start
200,resources,9,resource,resourc,resourc
201,PIRS,9,PIRS,pir,pir
198,experienced,9,experienced,experienc,expery
203,projects,9,project,project,project
205,supervisors,9,supervisor,supervisor,superv
207,point,9,point,point,point
208,prior,9,prior,prior,pri
209,handling,9,handling,handl,handl
204,floor,9,floor,floor,flo
210,Process,9,Process,process,process
263,necessary,8,necessary,necessari,necess
267,office,8,office,offic,off
266,order,8,order,order,ord
265,reporting,8,reporting,report,report
264,people,8,people,peopl,peopl
261,comment,8,comment,comment,com
262,loads,8,load,load,load
260,ready,8,ready,readi,ready
259,gaps,8,gap,gap,gap
269,significant,8,significant,signific,sign
268,month,8,month,month,mon
278,until,8,until,until,until
270,More,8,More,more,mor
271,leading,8,leading,lead,lead
272,responsibilities,8,responsibility,respons,respons
273,missing,8,missing,miss,miss
274,caused,8,caused,caus,caus
275,then,8,then,then,then
276,risks,8,risk,risk,risk
277,high,8,high,high,high
279,installed,8,installed,instal,instal
280,FGT,8,FGT,fgt,fgt
257,end,8,end,end,end
258,CEMS,8,CEMS,cem,cem
235,first,8,first,first,first
256,Standards,8,Standards,standard,standard
243,involved,8,involved,involv,involv
255,Steel,8,Steel,steel,steel
232,discharge,8,discharge,discharg,discharg
233,company,8,company,compani,company
234,operation,8,operation,oper,op
237,complete,8,complete,complet,complet
238,about,8,about,about,about
239,earlier,8,earlier,earlier,ear
240,ground,8,ground,ground,ground
241,engineered,8,engineered,engin,engin
242,sufficient,8,sufficient,suffici,sufficy
236,Customer,8,Customer,custom,custom
244,Works,8,Works,work,work
250,difficult,8,difficult,difficult,difficult
254,update,8,update,updat,upd
245,input,8,input,input,input
253,far,8,far,far,far
252,where,8,where,where,wher
251,Scaffolding,8,Scaffolding,scaffold,scaffold
249,approval,8,approval,approv,approv
248,Insulation,8,Insulation,insul,ins
247,dedicated,8,dedicated,dedic,ded
246,above,8,above,abov,abov
332,minimum,7,minimum,minimum,minim
331,Interface,7,Interface,interfac,interfac
325,type,7,type,type,typ
330,NEC,7,NEC,nec,nec
329,discussions,7,discussion,discuss,discuss
328,designed,7,designed,design,design
327,members,7,member,member,memb
320,interfaces,7,interface,interfac,interfac
324,base,7,base,base,bas
323,HV,7,HV,hv,hv
322,Scheduling,7,Scheduling,schedul,scheduling
321,close,7,close,close,clos
319,related,7,related,relat,rel
318,overall,7,overall,overal,overal
334,identified,7,identified,identifi,ident
333,much,7,much,much,much
346,reduce,7,reduce,reduc,reduc
335,them,7,them,them,them
344,pressure,7,pressure,pressur,press
316,through,7,through,through,through
350,part,7,part,part,part
349,produce,7,produce,produc,produc
348,remove,7,remove,remov,remov
347,every,7,every,everi,every
345,suppliers,7,supplier,supplier,supply
343,take,7,take,take,tak
336,original,7,original,origin,origin
342,risk,7,risk,risk,risk
341,Sub,7,Sub,sub,sub
340,effectively,7,effectively,effect,effect
339,understand,7,understand,understand,understand
338,specific,7,specific,specif,spec
337,last,7,last,last,last
317,cable,7,cable,cabl,cabl
326,reasonable,7,reasonable,reason,reason
315,During,7,During,dure,dur
298,Ash,7,Ash,ash,ash
296,Lack,7,Lack,lack,lack
295,effort,7,effort,effort,effort
294,MEC,7,MEC,mec,mec
293,failed,7,failed,fail,fail
292,two,7,two,two,two
291,using,7,using,use,us
290,Concept,7,Concept,concept,conceiv
289,scheduling,7,scheduling,schedul,scheduling
287,scaffold,7,scaffold,scaffold,scaffold
286,money,7,money,money,money
285,expectations,7,expectation,expect,expect
284,concepts,7,concept,concept,conceiv
283,list,7,list,list,list
282,benefit,7,benefit,benefit,benefit
314,approved,7,approved,approv,approv
297,joint,7,joint,joint,joint
288,rules,7,rule,rule,rul
299,common,7,common,common,common
307,Building,7,Building,build,build
300,state,7,state,state,stat
313,feed,7,feed,feed,fee
312,managing,7,managing,manag,man
311,almost,7,almost,almost,almost
309,large,7,large,larg,larg
308,side,7,side,side,sid
310,fire,7,fire,fire,fir
281,civils,7,civils,civil,civil
305,supervision,7,supervision,supervis,supervid
304,followed,7,followed,follow,follow
303,deal,7,deal,deal,deal
302,schedules,7,schedule,schedul,schedules
306,together,7,together,togeth,togeth
301,training,7,training,train,train
419,applicable,6,applicable,applic,appl
415,location,6,location,locat,loc
412,able,6,able,abl,abl
413,off,6,off,off,off
414,hydraulic,6,hydraulic,hydraul,hydra
418,Safety,6,Safety,safeti,saf
416,manufacturing,6,manufacturing,manufactur,manufact
417,small,6,small,small,smal
410,each,6,each,each,each
411,same,6,same,same,sam
401,current,6,current,current,cur
409,competency,6,competency,compet,compet
408,separate,6,separate,separ,sep
406,Engineered,6,Engineered,engin,engin
405,does,6,doe,doe,doe
404,hence,6,hence,henc,hent
403,period,6,period,period,period
402,E,6,E,e,e
400,established,6,established,establish,est
399,considered,6,considered,consid,consid
421,study,6,study,studi,study
420,left,6,left,left,left
438,date,6,date,date,dat
422,supplier,6,supplier,supplier,supply
423,specification,6,specification,specif,spec
442,EIC,6,EIC,eic,eic
441,infrastructure,6,infrastructure,infrastructur,infrastruct
440,slab,6,slab,slab,slab
439,improve,6,improve,improv,improv
397,reasons,6,reason,reason,reason
437,foundation,6,foundation,foundat,found
436,b,6,b,b,b
435,teams,6,team,team,team
434,checked,6,checked,check,check
433,fit,6,fit,fit,fit
432,competent,6,competent,compet,compet
431,RDD,6,RDD,rdd,rdd
430,certain,6,certain,certain,certain
429,roof,6,roof,roof,roof
428,standards,6,standard,standard,standard
427,performance,6,performance,perform,perform
426,table,6,table,tabl,tabl
425,If,6,If,if,if
424,main,6,main,main,main
398,partly,6,partly,partli,part
407,inspections,6,inspection,inspect,inspect
396,connections,6,connection,connect,connect
373,compliance,6,compliance,complianc,comply
371,easily,6,easily,easili,easy
370,later,6,later,later,lat
369,submission,6,submission,submiss,submit
368,bottom,6,bottom,bottom,bottom
367,never,6,never,never,nev
366,example,6,example,exampl,exampl
365,MEWPS,6,MEWPS,mewp,mewp
364,platforms,6,platform,platform,platform
363,Better,6,Better,better,bet
362,facilities,6,facility,facil,facil
360,included,6,included,includ,includ
359,exchange,6,exchange,exchang,exchang
358,long,6,long,long,long
357,contradicting,6,contradicting,contradict,contradict
356,became,6,became,becam,becam
355,inadequate,6,inadequate,inadequ,inadequ
354,pipe,6,pipe,pipe,pip
353,extra,6,extra,extra,extr
352,arrangement,6,arrangement,arrang,arrang
395,implemented,6,implemented,implement,impl
351,Changes,6,Changes,chang,chang
372,templates,6,template,templat,templ
361,requirement,6,requirement,requir,requir
374,sufficiently,6,sufficiently,suffici,sufficy
385,value,6,value,valu,valu
393,resulting,6,resulting,result,result
375,accepted,6,accepted,accept,acceiv
392,potential,6,potential,potenti,pot
391,situation,6,situation,situat,situ
390,temporary,6,temporary,temporari,temp
389,most,6,most,most,most
394,lift-in,6,lift-in,lift-in,lift-in
387,inspection,6,inspection,inspect,inspect
386,allows,6,allows,allow,allow
388,including,6,including,includ,includ
383,heavy,6,heavy,heavi,heavy
382,deliveries,6,delivery,deliveri,delivery
381,best,6,best,best,best
380,protection,6,protection,protect,protect
379,Include,6,Include,includ,includ
378,storage,6,storage,storag,stor
384,M,6,M,m,m
377,Temporary,6,Temporary,temporari,temp
376,routing,6,routing,rout,rout
526,response,5,response,respons,respons
520,hall,5,hall,hall,hal
516,being,5,being,be,being
517,weekly,5,weekly,weekli,week
518,concrete,5,concrete,concret,concret
519,case,5,case,case,cas
523,activities,5,activity,activ,act
521,investigation,5,investigation,investig,investig
522,removed,5,removed,remov,remov
524,existing,5,existing,exist,ex
525,see,5,see,see,see
515,increase,5,increase,increas,increas
506,obligation,5,obligation,oblig,oblig
514,Both,5,Both,both,both
513,Conditions,5,Conditions,condit,condit
512,Annex,5,Annex,annex,annex
511,cables,5,cable,cabl,cabl
510,its,5,it,it,it
509,issue,5,issue,issu,issu
508,ownership,5,ownership,ownership,own
507,BD,5,BD,bd,bd
505,beginning,5,beginning,begin,begin
504,etc.,5,etc.,etc.,etc.
503,sides,5,side,side,sid
502,apply,5,apply,appli,apply
528,riggers,5,rigger,rigger,rig
527,certificates,5,certificate,certif,cert
550,resourcing,5,resourcing,resourc,resourc
529,times,5,time,time,tim
530,supposed,5,supposed,suppos,suppos
500,Several,5,Several,sever,sev
555,drawing,5,drawing,draw,draw
554,taking,5,taking,take,tak
553,Delay,5,Delay,delay,delay
552,come,5,come,come,com
551,whole,5,whole,whole,whol
549,provision,5,provision,provis,provid
548,got,5,got,got,got
547,qualified,5,qualified,qualifi,qual
546,make,5,make,make,mak
545,Civils,5,Civils,civil,civil
544,contracted,5,contracted,contract,contract
543,aspects,5,aspect,aspect,aspect
542,conditions,5,condition,condit,condit
541,electrical,5,electrical,electr,elect
540,Transport,5,Transport,transport,transport
539,properly,5,properly,properli,prop
538,Management,5,Management,manag,man
537,his,5,his,hi,his
536,suitable,5,suitable,suitabl,suit
535,contracts,5,contract,contract,contract
534,easier,5,easier,easier,easy
533,At,5,At,at,at
532,Other,5,Other,other,oth
531,increased,5,increased,increas,increas
501,Earthing,5,Earthing,earth,earth
484,Review,5,Review,review,review
499,Technical,5,Technical,technic,techn
469,Access,5,Access,access,access
467,Crane,5,Crane,crane,cran
466,reasonably,5,reasonably,reason,reason
465,water,5,water,water,wat
464,employed,5,employed,employ,employ
463,key,5,key,key,key
462,combined,5,combined,combin,combin
461,actual,5,actual,actual,act
460,Different,5,Different,differ,diff
459,down,5,down,down,down
458,incl,5,incl,incl,inc
457,Waste,5,Waste,wast,wast
456,instead,5,instead,instead,instead
455,such,5,such,such,such
454,correct,5,correct,correct,correct
453,sub-contractors,5,sub-contractors,sub-contractor,sub-contractors
452,issued,5,issued,issu,issu
451,qualifications,5,qualification,qualif,qual
450,Cost,5,Cost,cost,cost
449,Provide,5,Provide,provid,provid
448,mat,5,mat,mat,mat
447,Bunker,5,Bunker,bunker,bunk
445,Internal,5,Internal,intern,intern
444,grate,5,grate,grate,grat
443,huge,5,huge,huge,hug
498,requiring,5,requiring,requir,requir
468,per,5,per,per,per
446,delayed,5,delayed,delay,delay
470,TII,5,TII,tii,tii
485,Document,5,Document,document,docu
497,High,5,High,high,high
471,capable,5,capable,capabl,cap
496,final,5,final,final,fin
494,Have,5,Have,have,hav
493,Electrical,5,Electrical,electr,elect
492,sheets,5,sheet,sheet,sheet
491,expensive,5,expensive,expens,expend
490,Action,5,Action,action,act
489,position,5,position,posit,posit
488,To,5,To,to,to
487,resolution,5,resolution,resolut,resolv
486,follow,5,follow,follow,follow
495,Coordinator,5,Coordinator,coordin,coordin
483,acceptable,5,acceptable,accept,acceiv
476,appropriate,5,appropriate,appropri,appropry
482,Data,5,Data,data,dat
473,acceptance,5,acceptance,accept,acceiv
472,waste,5,waste,wast,wast
475,previous,5,previous,previou,prevy
474,held,5,held,held,held
